,id,address,coord,district
1937,127505,"город Москва, проспект Мира, дом 12, строение 1",37.632637 55.774639,"Россия, Москва, Центральный административный округ, Мещанский район"
1952,151244,"город Москва, Профсоюзная улица, дом 122",37.518102 55.633709,"Россия, Москва, Юго-Западный административный округ, район Тёплый Стан, 1-4-й микрорайон"
1998,152530,"город Москва, Ленинский проспект, дом 8, корпус 5",37.603451 55.724429,"Россия, Москва, Центральный административный округ, район Якиманка"
1999,69831,"город Москва, Ленинский проспект, дом 89/2",37.531622 55.677935,"Россия, Москва, Юго-Западный административный округ, Ломоносовский район, 16-й квартал"
2000,29447,"город Москва, Ленинский проспект, дом 93А",37.528163 55.674184,"Россия, Москва, Юго-Западный административный округ, Ломоносовский район, 16-й квартал"
2002,26307,"город Москва, Ленинский проспект, дом 105",37.513395 55.665309,"Россия, Москва, Юго-Западный административный округ, Обручевский район, 37-й квартал"
2003,21553,"город Москва, Ленинский проспект, дом 34А",37.57484 55.706741,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
2004,21493,"город Москва, Ленинский проспект, дом 39А",37.583697 55.706533,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
2013,29386,"город Москва, Ленинский проспект, дом 83А",37.53932 55.680087,"Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
2109,29067,"город Москва, Ленинский проспект, дом 65, корпус 2",37.557188 55.692059,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
